2013-06-04 09:13:16 startup archives install
2013-06-04 09:13:18 install base-files:armhf <none> 6.12ubuntu2
2013-06-04 09:13:18 status half-installed base-files:armhf 6.12ubuntu2
2013-06-04 09:13:21 status unpacked base-files:armhf 6.12ubuntu2
2013-06-04 09:13:21 status unpacked base-files:armhf 6.12ubuntu2
2013-06-04 09:13:21 install base-passwd:armhf <none> 3.5.26
2013-06-04 09:13:21 status half-installed base-passwd:armhf 3.5.26
2013-06-04 09:13:22 status unpacked base-passwd:armhf 3.5.26
2013-06-04 09:13:22 status unpacked base-passwd:armhf 3.5.26
2013-06-04 09:13:22 configure base-passwd:armhf 3.5.26 3.5.26
2013-06-04 09:13:22 status unpacked base-passwd:armhf 3.5.26
2013-06-04 09:13:22 status half-configured base-passwd:armhf 3.5.26
2013-06-04 09:13:22 status installed base-passwd:armhf 3.5.26
2013-06-04 09:13:23 configure base-files:armhf 6.12ubuntu2 6.12ubuntu2
2013-06-04 09:13:23 status unpacked base-files:armhf 6.12ubuntu2
2013-06-04 09:13:23 status unpacked base-files:armhf 6.12ubuntu2
2013-06-04 09:13:23 status unpacked base-files:armhf 6.12ubuntu2
2013-06-04 09:13:23 status unpacked base-files:armhf 6.12ubuntu2
2013-06-04 09:13:24 status unpacked base-files:armhf 6.12ubuntu2
2013-06-04 09:13:24 status unpacked base-files:armhf 6.12ubuntu2
2013-06-04 09:13:24 status unpacked base-files:armhf 6.12ubuntu2
2013-06-04 09:13:24 status unpacked base-files:armhf 6.12ubuntu2
2013-06-04 09:13:24 status unpacked base-files:armhf 6.12ubuntu2
2013-06-04 09:13:24 status unpacked base-files:armhf 6.12ubuntu2
2013-06-04 09:13:24 status unpacked base-files:armhf 6.12ubuntu2
2013-06-04 09:13:24 status unpacked base-files:armhf 6.12ubuntu2
2013-06-04 09:13:25 status half-configured base-files:armhf 6.12ubuntu2
2013-06-04 09:13:37 status installed base-files:armhf 6.12ubuntu2
2013-06-04 09:13:46 startup archives install
2013-06-04 09:13:47 upgrade dpkg 1.16.10ubuntu1 1.16.10ubuntu1
2013-06-04 09:13:47 status half-configured dpkg 1.16.10ubuntu1
2013-06-04 09:13:47 status unpacked dpkg 1.16.10ubuntu1
2013-06-04 09:13:47 status half-installed dpkg 1.16.10ubuntu1
2013-06-04 09:13:53 status half-installed dpkg 1.16.10ubuntu1
2013-06-04 09:13:54 status unpacked dpkg 1.16.10ubuntu1
2013-06-04 09:13:54 status unpacked dpkg 1.16.10ubuntu1
2013-06-04 09:13:54 configure dpkg 1.16.10ubuntu1 1.16.10ubuntu1
2013-06-04 09:13:54 status unpacked dpkg 1.16.10ubuntu1
2013-06-04 09:13:54 status unpacked dpkg 1.16.10ubuntu1
2013-06-04 09:13:54 status unpacked dpkg 1.16.10ubuntu1
2013-06-04 09:13:54 status unpacked dpkg 1.16.10ubuntu1
2013-06-04 09:13:55 status unpacked dpkg 1.16.10ubuntu1
2013-06-04 09:13:55 status half-configured dpkg 1.16.10ubuntu1
2013-06-04 09:13:55 status installed dpkg 1.16.10ubuntu1
2013-06-04 09:13:55 startup archives install
2013-06-04 09:13:55 install libc6:armhf <none> 2.17-0ubuntu5
2013-06-04 09:13:55 status half-installed libc6:armhf 2.17-0ubuntu5
2013-06-04 09:13:58 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-04 09:13:58 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-04 09:13:58 configure libc6:armhf 2.17-0ubuntu5 2.17-0ubuntu5
2013-06-04 09:13:58 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-04 09:13:59 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-04 09:13:59 status half-configured libc6:armhf 2.17-0ubuntu5
2013-06-04 09:14:01 status installed libc6:armhf 2.17-0ubuntu5
2013-06-04 09:14:01 startup archives install
2013-06-04 09:14:02 install perl-base:armhf <none> 5.14.2-21
2013-06-04 09:14:02 status half-installed perl-base:armhf 5.14.2-21
2013-06-04 09:14:05 status unpacked perl-base:armhf 5.14.2-21
2013-06-04 09:14:05 status unpacked perl-base:armhf 5.14.2-21
2013-06-04 09:14:05 configure perl-base:armhf 5.14.2-21 5.14.2-21
2013-06-04 09:14:05 status unpacked perl-base:armhf 5.14.2-21
2013-06-04 09:14:05 status half-configured perl-base:armhf 5.14.2-21
2013-06-04 09:14:05 status installed perl-base:armhf 5.14.2-21
2013-06-04 09:14:06 startup archives install
2013-06-04 09:14:06 install mawk:armhf <none> 1.3.3-17ubuntu1
2013-06-04 09:14:06 status half-installed mawk:armhf 1.3.3-17ubuntu1
2013-06-04 09:14:07 status unpacked mawk:armhf 1.3.3-17ubuntu1
2013-06-04 09:14:07 status unpacked mawk:armhf 1.3.3-17ubuntu1
2013-06-04 09:14:07 configure mawk:armhf 1.3.3-17ubuntu1 1.3.3-17ubuntu1
2013-06-04 09:14:07 status unpacked mawk:armhf 1.3.3-17ubuntu1
2013-06-04 09:14:07 status half-configured mawk:armhf 1.3.3-17ubuntu1
2013-06-04 09:14:07 status installed mawk:armhf 1.3.3-17ubuntu1
2013-06-04 09:14:07 startup archives install
2013-06-04 09:14:07 install debconf:all <none> 1.5.49ubuntu1
2013-06-04 09:14:07 status half-installed debconf:all 1.5.49ubuntu1
2013-06-04 09:14:07 status unpacked debconf:all 1.5.49ubuntu1
2013-06-04 09:14:07 status unpacked debconf:all 1.5.49ubuntu1
2013-06-04 09:14:07 configure debconf:all 1.5.49ubuntu1 1.5.49ubuntu1
2013-06-04 09:14:07 status unpacked debconf:all 1.5.49ubuntu1
2013-06-04 09:14:07 status unpacked debconf:all 1.5.49ubuntu1
2013-06-04 09:14:08 status unpacked debconf:all 1.5.49ubuntu1
2013-06-04 09:14:08 status unpacked debconf:all 1.5.49ubuntu1
2013-06-04 09:14:08 status half-configured debconf:all 1.5.49ubuntu1
2013-06-04 09:14:08 status installed debconf:all 1.5.49ubuntu1
2013-06-04 09:14:09 startup archives unpack
2013-06-04 09:14:09 install adduser:all <none> 3.113+nmu3ubuntu1
2013-06-04 09:14:09 status half-installed adduser:all 3.113+nmu3ubuntu1
2013-06-04 09:14:20 status unpacked adduser:all 3.113+nmu3ubuntu1
2013-06-04 09:14:20 status unpacked adduser:all 3.113+nmu3ubuntu1
2013-06-04 09:14:20 upgrade base-files:armhf 6.12ubuntu2 6.12ubuntu2
2013-06-04 09:14:20 status half-configured base-files:armhf 6.12ubuntu2
2013-06-04 09:14:20 status unpacked base-files:armhf 6.12ubuntu2
2013-06-04 09:14:20 status half-installed base-files:armhf 6.12ubuntu2
2013-06-04 09:14:20 status half-installed base-files:armhf 6.12ubuntu2
2013-06-04 09:14:20 status unpacked base-files:armhf 6.12ubuntu2
2013-06-04 09:14:20 status unpacked base-files:armhf 6.12ubuntu2
2013-06-04 09:14:20 upgrade base-passwd:armhf 3.5.26 3.5.26
2013-06-04 09:14:20 status half-configured base-passwd:armhf 3.5.26
2013-06-04 09:14:20 status unpacked base-passwd:armhf 3.5.26
2013-06-04 09:14:20 status half-installed base-passwd:armhf 3.5.26
2013-06-04 09:14:20 status half-installed base-passwd:armhf 3.5.26
2013-06-04 09:14:21 status unpacked base-passwd:armhf 3.5.26
2013-06-04 09:14:21 status unpacked base-passwd:armhf 3.5.26
2013-06-04 09:14:21 install bash:armhf <none> 4.2-5ubuntu3
2013-06-04 09:14:21 status half-installed bash:armhf 4.2-5ubuntu3
2013-06-04 09:14:22 status unpacked bash:armhf 4.2-5ubuntu3
2013-06-04 09:14:22 status unpacked bash:armhf 4.2-5ubuntu3
2013-06-04 09:14:22 install bsdutils:armhf <none> 1:2.20.1-5.1ubuntu8
2013-06-04 09:14:22 status half-installed bsdutils:armhf 1:2.20.1-5.1ubuntu8
2013-06-04 09:14:22 status unpacked bsdutils:armhf 1:2.20.1-5.1ubuntu8
2013-06-04 09:14:23 status unpacked bsdutils:armhf 1:2.20.1-5.1ubuntu8
2013-06-04 09:14:23 install busybox-initramfs:armhf <none> 1:1.20.0-8ubuntu1
2013-06-04 09:14:23 status half-installed busybox-initramfs:armhf 1:1.20.0-8ubuntu1
2013-06-04 09:14:23 status unpacked busybox-initramfs:armhf 1:1.20.0-8ubuntu1
2013-06-04 09:14:23 status unpacked busybox-initramfs:armhf 1:1.20.0-8ubuntu1
2013-06-04 09:14:23 install coreutils:armhf <none> 8.20-3ubuntu5
2013-06-04 09:14:23 status half-installed coreutils:armhf 8.20-3ubuntu5
2013-06-04 09:14:25 status unpacked coreutils:armhf 8.20-3ubuntu5
2013-06-04 09:14:25 status unpacked coreutils:armhf 8.20-3ubuntu5
2013-06-04 09:14:25 install cpio:armhf <none> 2.11+dfsg-0.1ubuntu1
2013-06-04 09:14:25 status half-installed cpio:armhf 2.11+dfsg-0.1ubuntu1
2013-06-04 09:14:25 status unpacked cpio:armhf 2.11+dfsg-0.1ubuntu1
2013-06-04 09:14:25 status unpacked cpio:armhf 2.11+dfsg-0.1ubuntu1
2013-06-04 09:14:26 install dash:armhf <none> 0.5.7-3ubuntu1
2013-06-04 09:14:26 status half-installed dash:armhf 0.5.7-3ubuntu1
2013-06-04 09:14:26 status unpacked dash:armhf 0.5.7-3ubuntu1
2013-06-04 09:14:26 status unpacked dash:armhf 0.5.7-3ubuntu1
2013-06-04 09:14:26 upgrade debconf:all 1.5.49ubuntu1 1.5.49ubuntu1
2013-06-04 09:14:26 status half-configured debconf:all 1.5.49ubuntu1
2013-06-04 09:14:27 status unpacked debconf:all 1.5.49ubuntu1
2013-06-04 09:14:27 status half-installed debconf:all 1.5.49ubuntu1
2013-06-04 09:14:27 status half-installed debconf:all 1.5.49ubuntu1
2013-06-04 09:14:27 status unpacked debconf:all 1.5.49ubuntu1
2013-06-04 09:14:27 status unpacked debconf:all 1.5.49ubuntu1
2013-06-04 09:14:27 install debianutils:armhf <none> 4.3.4
2013-06-04 09:14:27 status half-installed debianutils:armhf 4.3.4
2013-06-04 09:14:28 status unpacked debianutils:armhf 4.3.4
2013-06-04 09:14:28 status unpacked debianutils:armhf 4.3.4
2013-06-04 09:14:28 install diffutils:armhf <none> 1:3.2-8
2013-06-04 09:14:28 status half-installed diffutils:armhf 1:3.2-8
2013-06-04 09:14:28 status unpacked diffutils:armhf 1:3.2-8
2013-06-04 09:14:28 status unpacked diffutils:armhf 1:3.2-8
2013-06-04 09:14:28 upgrade dpkg:armhf 1.16.10ubuntu1 1.16.10ubuntu1
2013-06-04 09:14:28 status half-configured dpkg:armhf 1.16.10ubuntu1
2013-06-04 09:14:28 status unpacked dpkg:armhf 1.16.10ubuntu1
2013-06-04 09:14:28 status half-installed dpkg:armhf 1.16.10ubuntu1
2013-06-04 09:14:33 status half-installed dpkg:armhf 1.16.10ubuntu1
2013-06-04 09:14:33 status unpacked dpkg:armhf 1.16.10ubuntu1
2013-06-04 09:14:33 status unpacked dpkg:armhf 1.16.10ubuntu1
2013-06-04 09:14:34 install e2fslibs:armhf <none> 1.42.5-1ubuntu4
2013-06-04 09:14:34 status half-installed e2fslibs:armhf 1.42.5-1ubuntu4
2013-06-04 09:14:35 status unpacked e2fslibs:armhf 1.42.5-1ubuntu4
2013-06-04 09:14:35 status unpacked e2fslibs:armhf 1.42.5-1ubuntu4
2013-06-04 09:14:35 install e2fsprogs:armhf <none> 1.42.5-1ubuntu4
2013-06-04 09:14:35 status half-installed e2fsprogs:armhf 1.42.5-1ubuntu4
2013-06-04 09:14:41 status unpacked e2fsprogs:armhf 1.42.5-1ubuntu4
2013-06-04 09:14:41 status unpacked e2fsprogs:armhf 1.42.5-1ubuntu4
2013-06-04 09:14:42 install findutils:armhf <none> 4.4.2-5ubuntu1
2013-06-04 09:14:42 status half-installed findutils:armhf 4.4.2-5ubuntu1
2013-06-04 09:14:42 status unpacked findutils:armhf 4.4.2-5ubuntu1
2013-06-04 09:14:42 status unpacked findutils:armhf 4.4.2-5ubuntu1
2013-06-04 09:14:43 install gcc-4.7-base:armhf <none> 4.7.3-1ubuntu1
2013-06-04 09:14:43 status half-installed gcc-4.7-base:armhf 4.7.3-1ubuntu1
2013-06-04 09:14:43 status unpacked gcc-4.7-base:armhf 4.7.3-1ubuntu1
2013-06-04 09:14:43 status unpacked gcc-4.7-base:armhf 4.7.3-1ubuntu1
2013-06-04 09:14:43 install grep:armhf <none> 2.14-1
2013-06-04 09:14:43 status half-installed grep:armhf 2.14-1
2013-06-04 09:14:44 status unpacked grep:armhf 2.14-1
2013-06-04 09:14:44 status unpacked grep:armhf 2.14-1
2013-06-04 09:14:44 install gzip:armhf <none> 1.5-1.1ubuntu1
2013-06-04 09:14:44 status half-installed gzip:armhf 1.5-1.1ubuntu1
2013-06-04 09:14:44 status unpacked gzip:armhf 1.5-1.1ubuntu1
2013-06-04 09:14:44 status unpacked gzip:armhf 1.5-1.1ubuntu1
2013-06-04 09:14:44 install hostname:armhf <none> 3.12ubuntu1
2013-06-04 09:14:44 status half-installed hostname:armhf 3.12ubuntu1
2013-06-04 09:14:44 status unpacked hostname:armhf 3.12ubuntu1
2013-06-04 09:14:45 status unpacked hostname:armhf 3.12ubuntu1
2013-06-04 09:14:45 install ifupdown:armhf <none> 0.7.5ubuntu2
