2013-06-03 09:02:49 startup archives install
2013-06-03 09:02:50 install base-files:armhf <none> 6.12ubuntu2
2013-06-03 09:02:50 status half-installed base-files:armhf 6.12ubuntu2
2013-06-03 09:02:50 status unpacked base-files:armhf 6.12ubuntu2
2013-06-03 09:02:50 status unpacked base-files:armhf 6.12ubuntu2
2013-06-03 09:02:50 install base-passwd:armhf <none> 3.5.26
2013-06-03 09:02:50 status half-installed base-passwd:armhf 3.5.26
2013-06-03 09:02:50 status unpacked base-passwd:armhf 3.5.26
2013-06-03 09:02:50 status unpacked base-passwd:armhf 3.5.26
2013-06-03 09:02:50 configure base-passwd:armhf 3.5.26 3.5.26
2013-06-03 09:02:50 status unpacked base-passwd:armhf 3.5.26
2013-06-03 09:02:50 status half-configured base-passwd:armhf 3.5.26
2013-06-03 09:02:50 status installed base-passwd:armhf 3.5.26
2013-06-03 09:02:50 configure base-files:armhf 6.12ubuntu2 6.12ubuntu2
2013-06-03 09:02:50 status unpacked base-files:armhf 6.12ubuntu2
2013-06-03 09:02:50 status unpacked base-files:armhf 6.12ubuntu2
2013-06-03 09:02:50 status unpacked base-files:armhf 6.12ubuntu2
2013-06-03 09:02:50 status unpacked base-files:armhf 6.12ubuntu2
2013-06-03 09:02:50 status unpacked base-files:armhf 6.12ubuntu2
2013-06-03 09:02:50 status unpacked base-files:armhf 6.12ubuntu2
2013-06-03 09:02:50 status unpacked base-files:armhf 6.12ubuntu2
2013-06-03 09:02:50 status unpacked base-files:armhf 6.12ubuntu2
2013-06-03 09:02:50 status unpacked base-files:armhf 6.12ubuntu2
2013-06-03 09:02:50 status unpacked base-files:armhf 6.12ubuntu2
2013-06-03 09:02:50 status unpacked base-files:armhf 6.12ubuntu2
2013-06-03 09:02:50 status unpacked base-files:armhf 6.12ubuntu2
2013-06-03 09:02:50 status half-configured base-files:armhf 6.12ubuntu2
2013-06-03 09:02:51 status installed base-files:armhf 6.12ubuntu2
2013-06-03 09:02:51 startup archives install
2013-06-03 09:02:51 upgrade dpkg 1.16.10ubuntu1 1.16.10ubuntu1
2013-06-03 09:02:51 status half-configured dpkg 1.16.10ubuntu1
2013-06-03 09:02:51 status unpacked dpkg 1.16.10ubuntu1
2013-06-03 09:02:51 status half-installed dpkg 1.16.10ubuntu1
2013-06-03 09:02:52 status half-installed dpkg 1.16.10ubuntu1
2013-06-03 09:02:52 status unpacked dpkg 1.16.10ubuntu1
2013-06-03 09:02:52 status unpacked dpkg 1.16.10ubuntu1
2013-06-03 09:02:52 configure dpkg 1.16.10ubuntu1 1.16.10ubuntu1
2013-06-03 09:02:52 status unpacked dpkg 1.16.10ubuntu1
2013-06-03 09:02:52 status unpacked dpkg 1.16.10ubuntu1
2013-06-03 09:02:52 status unpacked dpkg 1.16.10ubuntu1
2013-06-03 09:02:52 status unpacked dpkg 1.16.10ubuntu1
2013-06-03 09:02:52 status unpacked dpkg 1.16.10ubuntu1
2013-06-03 09:02:52 status half-configured dpkg 1.16.10ubuntu1
2013-06-03 09:02:52 status installed dpkg 1.16.10ubuntu1
2013-06-03 09:02:52 startup archives install
2013-06-03 09:02:52 install libc6:armhf <none> 2.17-0ubuntu5
2013-06-03 09:02:52 status half-installed libc6:armhf 2.17-0ubuntu5
2013-06-03 09:02:53 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-03 09:02:53 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-03 09:02:53 configure libc6:armhf 2.17-0ubuntu5 2.17-0ubuntu5
2013-06-03 09:02:53 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-03 09:02:53 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-03 09:02:53 status half-configured libc6:armhf 2.17-0ubuntu5
2013-06-03 09:02:54 status installed libc6:armhf 2.17-0ubuntu5
2013-06-03 09:02:54 startup archives install
2013-06-03 09:02:54 install perl-base:armhf <none> 5.14.2-21
2013-06-03 09:02:54 status half-installed perl-base:armhf 5.14.2-21
2013-06-03 09:02:55 status unpacked perl-base:armhf 5.14.2-21
2013-06-03 09:02:55 status unpacked perl-base:armhf 5.14.2-21
2013-06-03 09:02:55 configure perl-base:armhf 5.14.2-21 5.14.2-21
2013-06-03 09:02:55 status unpacked perl-base:armhf 5.14.2-21
2013-06-03 09:02:55 status half-configured perl-base:armhf 5.14.2-21
2013-06-03 09:02:55 status installed perl-base:armhf 5.14.2-21
2013-06-03 09:02:55 startup archives install
2013-06-03 09:02:55 install mawk:armhf <none> 1.3.3-17ubuntu1
2013-06-03 09:02:55 status half-installed mawk:armhf 1.3.3-17ubuntu1
2013-06-03 09:02:55 status unpacked mawk:armhf 1.3.3-17ubuntu1
2013-06-03 09:02:55 status unpacked mawk:armhf 1.3.3-17ubuntu1
2013-06-03 09:02:55 configure mawk:armhf 1.3.3-17ubuntu1 1.3.3-17ubuntu1
2013-06-03 09:02:55 status unpacked mawk:armhf 1.3.3-17ubuntu1
2013-06-03 09:02:55 status half-configured mawk:armhf 1.3.3-17ubuntu1
2013-06-03 09:02:55 status installed mawk:armhf 1.3.3-17ubuntu1
2013-06-03 09:02:55 startup archives install
2013-06-03 09:02:55 install debconf:all <none> 1.5.49ubuntu1
2013-06-03 09:02:55 status half-installed debconf:all 1.5.49ubuntu1
2013-06-03 09:02:55 status unpacked debconf:all 1.5.49ubuntu1
2013-06-03 09:02:55 status unpacked debconf:all 1.5.49ubuntu1
2013-06-03 09:02:55 configure debconf:all 1.5.49ubuntu1 1.5.49ubuntu1
2013-06-03 09:02:55 status unpacked debconf:all 1.5.49ubuntu1
2013-06-03 09:02:55 status unpacked debconf:all 1.5.49ubuntu1
2013-06-03 09:02:55 status unpacked debconf:all 1.5.49ubuntu1
2013-06-03 09:02:55 status unpacked debconf:all 1.5.49ubuntu1
2013-06-03 09:02:55 status half-configured debconf:all 1.5.49ubuntu1
2013-06-03 09:02:56 status installed debconf:all 1.5.49ubuntu1
2013-06-03 09:02:57 startup archives unpack
2013-06-03 09:02:57 install adduser:all <none> 3.113+nmu3ubuntu1
2013-06-03 09:02:57 status half-installed adduser:all 3.113+nmu3ubuntu1
2013-06-03 09:02:57 status unpacked adduser:all 3.113+nmu3ubuntu1
2013-06-03 09:02:57 status unpacked adduser:all 3.113+nmu3ubuntu1
2013-06-03 09:02:58 upgrade base-files:armhf 6.12ubuntu2 6.12ubuntu2
2013-06-03 09:02:58 status half-configured base-files:armhf 6.12ubuntu2
2013-06-03 09:02:58 status unpacked base-files:armhf 6.12ubuntu2
2013-06-03 09:02:58 status half-installed base-files:armhf 6.12ubuntu2
2013-06-03 09:02:58 status half-installed base-files:armhf 6.12ubuntu2
2013-06-03 09:02:58 status unpacked base-files:armhf 6.12ubuntu2
2013-06-03 09:02:58 status unpacked base-files:armhf 6.12ubuntu2
2013-06-03 09:02:58 upgrade base-passwd:armhf 3.5.26 3.5.26
2013-06-03 09:02:58 status half-configured base-passwd:armhf 3.5.26
2013-06-03 09:02:58 status unpacked base-passwd:armhf 3.5.26
2013-06-03 09:02:58 status half-installed base-passwd:armhf 3.5.26
2013-06-03 09:02:58 status half-installed base-passwd:armhf 3.5.26
2013-06-03 09:02:58 status unpacked base-passwd:armhf 3.5.26
2013-06-03 09:02:58 status unpacked base-passwd:armhf 3.5.26
2013-06-03 09:02:58 install bash:armhf <none> 4.2-5ubuntu3
2013-06-03 09:02:58 status half-installed bash:armhf 4.2-5ubuntu3
2013-06-03 09:02:58 status unpacked bash:armhf 4.2-5ubuntu3
2013-06-03 09:02:58 status unpacked bash:armhf 4.2-5ubuntu3
2013-06-03 09:02:58 install bsdutils:armhf <none> 1:2.20.1-5.1ubuntu8
2013-06-03 09:02:58 status half-installed bsdutils:armhf 1:2.20.1-5.1ubuntu8
2013-06-03 09:02:58 status unpacked bsdutils:armhf 1:2.20.1-5.1ubuntu8
2013-06-03 09:02:58 status unpacked bsdutils:armhf 1:2.20.1-5.1ubuntu8
2013-06-03 09:02:58 install busybox-initramfs:armhf <none> 1:1.20.0-8ubuntu1
2013-06-03 09:02:58 status half-installed busybox-initramfs:armhf 1:1.20.0-8ubuntu1
2013-06-03 09:02:58 status unpacked busybox-initramfs:armhf 1:1.20.0-8ubuntu1
2013-06-03 09:02:58 status unpacked busybox-initramfs:armhf 1:1.20.0-8ubuntu1
2013-06-03 09:02:58 install coreutils:armhf <none> 8.20-3ubuntu5
2013-06-03 09:02:58 status half-installed coreutils:armhf 8.20-3ubuntu5
2013-06-03 09:02:59 status unpacked coreutils:armhf 8.20-3ubuntu5
2013-06-03 09:02:59 status unpacked coreutils:armhf 8.20-3ubuntu5
2013-06-03 09:02:59 install cpio:armhf <none> 2.11+dfsg-0.1ubuntu1
2013-06-03 09:02:59 status half-installed cpio:armhf 2.11+dfsg-0.1ubuntu1
2013-06-03 09:02:59 status unpacked cpio:armhf 2.11+dfsg-0.1ubuntu1
2013-06-03 09:02:59 status unpacked cpio:armhf 2.11+dfsg-0.1ubuntu1
2013-06-03 09:02:59 install dash:armhf <none> 0.5.7-3ubuntu1
2013-06-03 09:02:59 status half-installed dash:armhf 0.5.7-3ubuntu1
2013-06-03 09:02:59 status unpacked dash:armhf 0.5.7-3ubuntu1
2013-06-03 09:02:59 status unpacked dash:armhf 0.5.7-3ubuntu1
2013-06-03 09:03:00 upgrade debconf:all 1.5.49ubuntu1 1.5.49ubuntu1
2013-06-03 09:03:00 status half-configured debconf:all 1.5.49ubuntu1
2013-06-03 09:03:00 status unpacked debconf:all 1.5.49ubuntu1
2013-06-03 09:03:00 status half-installed debconf:all 1.5.49ubuntu1
2013-06-03 09:03:00 status half-installed debconf:all 1.5.49ubuntu1
2013-06-03 09:03:00 status unpacked debconf:all 1.5.49ubuntu1
2013-06-03 09:03:00 status unpacked debconf:all 1.5.49ubuntu1
2013-06-03 09:03:00 install debianutils:armhf <none> 4.3.4
2013-06-03 09:03:00 status half-installed debianutils:armhf 4.3.4
2013-06-03 09:03:00 status unpacked debianutils:armhf 4.3.4
2013-06-03 09:03:00 status unpacked debianutils:armhf 4.3.4
2013-06-03 09:03:00 install diffutils:armhf <none> 1:3.2-8
2013-06-03 09:03:00 status half-installed diffutils:armhf 1:3.2-8
2013-06-03 09:03:00 status unpacked diffutils:armhf 1:3.2-8
2013-06-03 09:03:00 status unpacked diffutils:armhf 1:3.2-8
2013-06-03 09:03:01 upgrade dpkg:armhf 1.16.10ubuntu1 1.16.10ubuntu1
2013-06-03 09:03:01 status half-configured dpkg:armhf 1.16.10ubuntu1
2013-06-03 09:03:01 status unpacked dpkg:armhf 1.16.10ubuntu1
2013-06-03 09:03:01 status half-installed dpkg:armhf 1.16.10ubuntu1
2013-06-03 09:03:01 status half-installed dpkg:armhf 1.16.10ubuntu1
2013-06-03 09:03:01 status unpacked dpkg:armhf 1.16.10ubuntu1
2013-06-03 09:03:01 status unpacked dpkg:armhf 1.16.10ubuntu1
2013-06-03 09:03:01 install e2fslibs:armhf <none> 1.42.5-1ubuntu4
2013-06-03 09:03:01 status half-installed e2fslibs:armhf 1.42.5-1ubuntu4
2013-06-03 09:03:01 status unpacked e2fslibs:armhf 1.42.5-1ubuntu4
2013-06-03 09:03:01 status unpacked e2fslibs:armhf 1.42.5-1ubuntu4
2013-06-03 09:03:01 install e2fsprogs:armhf <none> 1.42.5-1ubuntu4
2013-06-03 09:03:01 status half-installed e2fsprogs:armhf 1.42.5-1ubuntu4
2013-06-03 09:03:02 status unpacked e2fsprogs:armhf 1.42.5-1ubuntu4
2013-06-03 09:03:02 status unpacked e2fsprogs:armhf 1.42.5-1ubuntu4
2013-06-03 09:03:02 install findutils:armhf <none> 4.4.2-5ubuntu1
2013-06-03 09:03:02 status half-installed findutils:armhf 4.4.2-5ubuntu1
2013-06-03 09:03:02 status unpacked findutils:armhf 4.4.2-5ubuntu1
2013-06-03 09:03:02 status unpacked findutils:armhf 4.4.2-5ubuntu1
2013-06-03 09:03:02 install gcc-4.7-base:armhf <none> 4.7.3-1ubuntu1
2013-06-03 09:03:02 status half-installed gcc-4.7-base:armhf 4.7.3-1ubuntu1
2013-06-03 09:03:02 status unpacked gcc-4.7-base:armhf 4.7.3-1ubuntu1
2013-06-03 09:03:02 status unpacked gcc-4.7-base:armhf 4.7.3-1ubuntu1
2013-06-03 09:03:02 install grep:armhf <none> 2.14-1
